active_server_utilization,avg_cpu_utilization,avg_gpu_utilization,b_max_ratio,b_min_ratio,deadline_miss_rate,defer_count,energy_idle_active,group_energy_active_total,group_id,group_makespan,group_size,method,migration_count,num_tasks,peak_active_power,power_envelope_violation,scenario,server_activated_count,total_active_window_time,total_cpu_active_capacity_time,total_cpu_busy_capacity_time,total_gpu_active_capacity_time,total_gpu_busy_capacity_time,total_task_busy_time,workflow_ids
0.7786805345895975,0.20454722486862018,0.18470358990636693,0.8,0.45,0.0,0.0,65977.59995755732,109855.1777462819,group_000,16.47792206732201,5.0,HEFT,0.0,41.0,10513.867052286805,0.00020439989537664492,normal,9.0,148.30129860589807,8173.049345391717,1671.7745623141684,725.0285709621684,133.9153798413956,115.47933447877224,"job_10302,job_11225,job_11820,job_1195,job_11957"
0.6734183846220976,0.1775428193869409,0.19411638597032158,0.8,0.45,0.0,0.0,79091.32519932411,123032.44699339553,group_000,20.114782604100743,5.0,PCEA-PPO,0.0,41.0,10427.950880286806,0.0015724489387642113,normal,9.0,181.0330434369067,9976.93217163397,1771.3326665841698,724.1321737476269,140.56592053272232,121.91097967450372,"job_10302,job_11225,job_11820,job_1195,job_11957"
0.6714098533903037,0.17666813643115975,0.20553499690975227,0.8,0.45,0.0,0.0,78608.57041682569,122513.80594859991,group_000,20.114782604100743,5.0,PCEA-AER,5.0,41.0,10403.950880286806,0.0015391104056416117,normal,9.0,181.0330434369067,9976.93217163397,1762.606014062657,683.9026085394254,140.56592053272232,121.547369152774,"job_10302,job_11225,job_11820,job_1195,job_11957"
0.6094737830644021,0.1519811143074072,0.3546670301243218,0.8,0.45,0.0,0.0,248160.2550665931,339479.23289144307,group_001,126.65370571849716,5.0,HEFT,0.0,47.0,5629.055166666667,0.0,normal,4.0,500.3908175024855,25945.634445671207,3943.2464344657574,2483.282071397918,880.7382772236738,304.9750845539287,"job_1196,job_12030,job_12669,job_12674,job_12675"
0.45965796635201495,0.1139557285133419,0.256369942961468,0.8,0.45,0.0,0.0,252283.05564883232,355048.548869458,group_001,129.2096213032609,5.0,PCEA-PPO,0.0,47.0,6826.1660833333335,0.0,normal,4.0,508.38135537584293,26334.344921497424,3000.9494604508645,2516.5353873676127,645.1640337199506,233.68153994334097,"job_1196,job_12030,job_12669,job_12674,job_12675"
0.6018186619231287,0.15009489171540677,0.35062295107741787,0.8,0.45,0.0,0.0,251693.76703363078,342986.817012969,group_001,128.83628638005726,5.0,PCEA-AER,7.0,47.0,5597.152944444445,0.0,normal,4.0,507.2449550466989,26279.535376745982,3944.4240167038897,2511.924203812904,880.7382772236738,305.2694801134619,"job_1196,job_12030,job_12669,job_12674,job_12675"
0.754970474762873,0.203304868997755,0.22986949962701278,0.8,0.45,0.0,0.0,60714.36319301277,106221.87593137476,group_002,21.83969899029236,5.0,HEFT,0.0,47.0,8214.344647602777,3.594753769912346e-06,normal,6.0,131.03819394175414,6639.268493048877,1349.7956112202241,524.1527757670166,120.48673629367393,98.92996749227557,"job_12680,job_12681,job_12683,job_12686,job_12688"
0.6247295165490655,0.16953524272275988,0.22334746735116903,0.8,0.45,0.0,0.0,68314.57844163451,114339.21502502298,group_002,21.83969899029236,5.0,PCEA-PPO,0.0,47.0,8486.3585934375,0.00018524609470599144,normal,7.0,152.8778929320465,8037.009228427588,1362.5563103065322,524.1527757670166,117.06819497264836,95.50733214247721,"job_12680,job_12681,job_12683,job_12686,job_12688"
0.6482797695155235,0.17659197856539924,0.2304285283317612,0.8,0.45,0.0,0.0,68314.57844163451,114129.13509658119,group_002,21.83969899029236,5.0,PCEA-AER,9.0,47.0,8486.3585934375,0.00010805324046858513,normal,7.0,152.8778929320465,8037.009228427588,1419.2713613964004,524.1527757670166,120.77975274100125,99.10764519400598,"job_12680,job_12681,job_12683,job_12686,job_12688"
1.9459082438290982,0.41323928428826806,0.3729812379623872,0.8,0.45,0.0,0.0,15790.136533851479,31844.627501995303,group_003,6.690735819428593,5.0,HEFT,0.0,34.0,7231.358778079861,0.0,normal,5.0,33.45367909714297,1605.7765966628622,663.569971531812,107.05177311085748,39.928302860956215,65.09778994154368,"job_12690,job_12692,job_12882,job_12887,job_12890"
